Immune cells	Malignant cells	Others
ANGPT1	0.00063	0.03672	0.00697
ANGPT2	0.02787	0.04826	0.05865
ANGPT4	0.00018	0.00144	0
ANGPTL1	0.00685	0.06917	0.00135
ANGPTL2	0.00382	0.16685	0.27217
ANGPTL3	0.00181	0.0059	0.00262
ANGPTL4	0.10507	0.07646	0.07467
ANGPTL5	0.00109	0.00174	0.00169
ANGPTL6	0.02346	0.00255	0
ANGPTL7	0.00377	0.01108	0.0085
ANHX	0.00024	0.00181	0
ANK1	0.00762	0.0036	0.00095
ANK2	0.01363	0.25039	0.41302
ANK3	0.01149	0.08426	0.45492
ANKAR	0.02805	0.03477	0.01769
ANKDD1A	0.05565	0.06883	0.02057
ANKDD1B	0.00042	0.00231	0
ANKEF1	0.01133	0.01178	0.00153
ANKFN1	0.00047	0.08019	0
ANKFY1	0.14471	0.20953	0.19691
ANKH	0.0808	0.06342	0.22028
ANKHD1	0.24071	0.2846	0.22582
ANKHD1-EIF4EBP3	0.0262	0.03135	0.0129
ANKIB1	0.07131	0.27586	0.38308
ANKK1	0.00152	0.00407	0.00253
ANKLE1	0.03191	0.0445	0.03603
ANKLE2	0.06319	0.13329	0.05397
ANKMY1	0.06679	0.05077	0.03947
ANKMY2	0.06067	0.26167	0.11489
ANKRA2	0.11083	0.24267	0.20709
ANKRD1	2e-04	0.0017	4e-05
ANKRD10	0.87615	0.98041	0.55269
ANKRD11	0.12723	0.13891	0.11208
ANKRD12	0.20926	0.22923	0.36445
ANKRD13A	0.07952	0.0776	0.14106
