DRUG_ID,ln_IC50_pred,DRUG_NAME,Targets,Target_pathway,en_entrenamiento
155,3.608533620834351,Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",False
1939,3.612421989440918,UMI-77,MCL1,Apoptosis regulation,True
222,3.6174283027648926,BX-912,PDK1 (PDPK1),Metabolism,False
199,3.61846661567688,Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",RTK signaling,False
276,3.624175786972046,CAY10603,"HDAC1, HDAC6",Chromatin histone acetylation,False
230,3.626440286636353,GSK429286A,"ROCK1, ROCK2",Cytoskeleton,False
2044,3.6303861141204834,Pyridostatin,G-quadruplex stabiliser,DNA replication,True
1940,3.648308753967285,WIKI4,"TNKS1, TNKS2",WNT signaling,True
1050,3.649383306503296,ZM447439,"AURKA, AURKB",Mitosis,True
277,3.6581201553344727,Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",RTK signaling,False
1242,3.689143657684326,(5Z)-7-Oxozeaenol,TAK1,"Other, kinases",False
1626,3.693311929702759,OTX015,"BRD2, BRD3, BRD4",Chromatin other,True
221,3.698316812515259,TAK-715,"p38alpha, p38beta",JNK and p38 signaling,False
328,3.700331449508667,SNX-2112,HSP90,Protein stability and degradation,False
1630,3.716038942337036,Entospletinib,SYK,"Other, kinases",True
345,3.717104434967041,KIN001-270,CDK9,Cell cycle,False
1133,3.727770805358887,Serdemetan,MDM2,p53 pathway,False
1560,3.7282681465148926,Alpelisib,PI3Kalpha,PI3K/MTOR signaling,True
1015,3.73163652420044,CI-1040,"MEK1, MEK2",ERK MAPK signaling,False
219,3.748325824737549,AT-7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle,False
262,3.75661826133728,VX-11e,ERK2,ERK MAPK signaling,False
2096,3.75661826133728,VX-11e,ERK2,ERK MAPK signaling,True
254,3.762827157974243,Quizartinib,FLT3,RTK signaling,False
200,3.76326322555542,Dacinostat,HDAC1,Chromatin histone acetylation,False
1558,3.771929979324341,Lapatinib,"EGFR, ERBB2",EGFR signaling,True
119,3.771929979324341,Lapatinib,"EGFR, ERBB2",RTK signaling,False
152,3.773534059524536,CP466722,ATM,Genome integrity,False
1067,3.775115489959717,CCT007093,PPM1D,Cell cycle,False
1049,3.783888816833496,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling,True
1023,3.784223318099976,GW441756,NTRK1,RTK signaling,False
1618,3.825838565826416,GSK2606414,PERK,Metabolism,True
1239,3.8373849391937256,YK-4-279,RNA helicase A,Other,True
281,3.841455221176148,Alectinib,ALK,RTK signaling,False
1046,3.8467044830322266,Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle,True
87,3.852598428726196,GW843682X,PLK1,Cell cycle,False
111,3.857542753219605,Salubrinal,EIF2A,Other,False
5,3.8715224266052246,Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,False
1853,3.880747556686402,OF-1,"BRPF1B, BRPF2",Chromatin histone acetylation,True
1243,3.906891107559204,Piperlongumine,Induces reactive oxygen species,Other,False
185,3.914487361907959,Linsitinib,IGF1R,IGF1R signaling,False
1510,3.914487361907959,Linsitinib,IGF1R,IGF1R signaling,True
1624,3.921277761459351,I-BET-762,"BRD2, BRD3, BRD4",Chromatin other,True
275,3.921277761459351,I-BET-762,"BRD2, BRD3, BRD4",Chromatin other,False
1129,3.921577215194702,PF-4708671,S6K1,PI3K/MTOR signaling,True
255,3.9424116611480713,CP724714,ERBB2,RTK signaling,False
1089,3.948505163192749,Oxaliplatin,DNA alkylating agent,DNA replication,True
1614,3.9608147144317623,WZ4003,"NUAK1, NUAK2","Other, kinases",True
170,3.9678900241851807,Shikonin,not defined,Other,False
265,3.9827609062194815,Tubastatin A,"HDAC1, HDAC6, HDAC8",Chromatin histone acetylation,False
1083,3.989011764526367,Crizotinib,"MET, ALK, ROS1",RTK signaling,True
37,3.989011764526367,Crizotinib,"MET, ALK, ROS1",RTK signaling,False
1598,3.9984536170959473,LGK974,PORCN,WNT signaling,True
1564,4.0081400871276855,SCH772984,"ERK1, ERK2",ERK MAPK signaling,True
1494,4.011990547180176,SN-38,TOP1,DNA replication,False
71,4.021667957305908,Pyrimethamine,Dihydrofolate reductase (DHFR),Other,False
298,4.023651599884033,OSI-930,KIT,RTK signaling,False
1996,4.0730881690979,MIM1,MCL1,Apoptosis regulation,True
1114,4.075368404388428,Cetuximab,EGFR,EGFR signaling,False
45,4.087120532989502,Z-LLNle-CHO,gamma-secretase,Other,False
35,4.090864658355713,NVP-TAE684,ALK,RTK signaling,False
1047,4.093291759490967,Nutlin-3a (-),MDM2,p53 pathway,True
89,4.105368614196777,Parthenolide,HDAC1,Chromatin histone acetylation,False
1005,4.10555362701416,Cisplatin,DNA crosslinker,DNA replication,True
1634,4.107151508331299,AGI-6780,IDH2 R140Q mutant,Metabolism,True
1997,4.109530925750732,WEHI-539,BCL-XL,Apoptosis regulation,True
294,4.113481521606445,MPS-1-IN-1,MPS1,Mitosis,False
186,4.117156982421875,Bexarotene,Retinioic X receptor (RXR) agonist,Other,False
1093,4.117351055145264,GSK1904529A,"IGF1R, IR",IGF1R signaling,True
202,4.117351055145264,GSK1904529A,"IGF1R, IR",RTK signaling,False
1502,4.122425079345703,Bicalutamide,AR,Hormone-related,False
150,4.122425079345703,Bicalutamide,AR,Hormone-related,False
176,4.13829517364502,IPA-3,PAK1,Cytoskeleton,False
1933,4.142497539520264,P22077,"USP7, USP47",Protein stability and degradation,True
1622,4.143418312072754,Wnt-C59,PORCN,WNT signaling,True
269,4.155013561248779,NSC-207895,MDM4,p53 pathway,False
196,4.214842796325684,Phenformin,Biguanide agent,Other,False
1088,4.220643043518066,Irinotecan,TOP1,DNA replication,True
178,4.222927093505859,BAY-61-3606,SYK,"Other, kinases",False
192,4.268369674682617,LFM-A13,BTK,"Other, kinases",False
1230,4.268803119659424,IOX2,EGLN1,Other,False
1632,4.275193691253662,Ribociclib,"CDK4, CDK6",Cell cycle,True
1928,4.293030261993408,I-BRD9,BRD9,Chromatin other,True
1177,4.30578088760376,Niraparib,"PARP1, PARP2",Genome integrity,True
1629,4.343645095825195,ML323,"USP1, UAF1",Protein stability and degradation,True
1268,4.358717918395996,XAV939,"TNKS1, TNKS2",WNT signaling,True
1855,4.38251256942749,KRAS (G12C) Inhibitor-12,KRAS (G12C),ERK MAPK signaling,True
1020,4.389388084411621,Lenalidomide,CRBN,Protein stability and degradation,False
2043,4.443136215209961,BIBR-1532,TERT,Genome integrity,True
272,4.454202651977539,AR-42,HDAC1,Chromatin histone acetylation,False
1017,4.455798625946045,Olaparib,"PARP1, PARP2",Genome integrity,True
1495,4.455798625946045,Olaparib,"PARP1, PARP2",Genome integrity,False
1549,4.46851921081543,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling,True
2111,4.473307132720947,VE821,ATR,Genome integrity,True
1042,4.51001501083374,Doramapimod,"p38, JNK2",JNK and p38 signaling,True
166,4.532577991485596,FTI-277,Farnesyl-transferase (FNTA),Other,False
1799,4.542477130889893,Ibrutinib,BTK,"Other, kinases",True
1621,4.546172142028809,PCI-34051,"HDAC8, HDAC6, HDAC1",Chromatin histone acetylation,True
1854,4.546885967254639,MN-64,"TNKS1, TNKS2",WNT signaling,True
1594,4.550972938537598,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,True
299,4.550972938537598,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,False
1913,4.5638604164123535,AGI-5198,IDH1 (R132H),Metabolism,True
1054,4.583288669586182,Palbociclib,"CDK4, CDK6",Cell cycle,True
205,4.589530944824219,Avagacestat,"Amyloid beta20, Amyloid beta40",Other,False
1072,4.589530944824219,Avagacestat,"Amyloid beta20, Amyloid beta40",Other,False
1131,4.610400199890137,PRIMA-1MET,TP53 activation,p53 pathway,True
1925,4.667013645172119,GDC0810,"ESR1, ESR2",Hormone-related,True
1927,4.668636798858643,GSK2578215A,LRRK2,"Other, kinases",True
1625,4.671603679656982,RVX-208,BRD4,Chromatin other,True
263,4.677381038665772,FR-180204,"ERK1, ERK2",ERK MAPK signaling,False
172,4.679013729095459,Embelin,XIAP,Apoptosis regulation,False
290,4.679591178894043,KIN001-260,IKKB,"Other, kinases",False
52,4.683493137359619,GNF-2,BCR-ABL,ABL signaling,False
1030,4.698249340057373,KU-55933,ATM,Genome integrity,True
1507,4.699965953826904,Ruxolitinib,"JAK1, JAK2","Other, kinases",True
206,4.699965953826904,Ruxolitinib,"JAK1, JAK2","Other, kinases",False
333,4.73694372177124,T0901317,"LXR, FXR",Other,False
1069,4.7396979331970215,EHT-1864,"RAC1, RAC2, RAC3",Cytoskeleton,False
301,4.778222560882568,PHA-793887,"CDK2, CDK7, CDK5",Cell cycle,False
2045,4.784010887145996,AMG-319,PI3K (beta sparing),PI3K/MTOR signaling,True
1578,4.902093410491943,Leflunomide,Pyrimidine synthesis inhibitor,DNA replication,True
2110,4.915787696838379,GSK591,PMRT5,Chromatin histone methylation,True
157,4.933434963226318,JNK-9L,"JNK2, JNK3",JNK and p38 signaling,False
1615,4.947959899902344,CZC24832,PI3Kgamma,PI3K/MTOR signaling,True
1373,4.949407577514648,Dabrafenib,BRAF,ERK MAPK signaling,True
1036,4.960196018218994,PLX-4720,BRAF,ERK MAPK signaling,True
1371,4.960196018218994,PLX-4720,BRAF,ERK MAPK signaling,False
1557,4.97442102432251,LCL161,"XIAP, IAP1, IAP2",Apoptosis regulation,True
2107,4.990920543670654,LJI308,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,True
1852,4.997180461883545,LY2109761,TGFB1,Other,True
1264,5.013717174530029,SGC0946,DOT1L,Chromatin histone methylation,False
1237,5.015971660614014,EPZ004777,DOT1L,Chromatin histone methylation,True
1512,5.042656898498535,Cyclophosphamide,Alkylating agent,DNA replication,True
1635,5.053863048553467,Picolinici-acid,Inflammatory related,Other,True
1025,5.114066123962402,SB216763,"GSK3A, GSK3B",WNT signaling,True
1931,5.156854629516602,MIRA-1,TP53,p53 pathway,True
1530,5.217426300048828,PFI-3,"SMARCA2, SMARCA4, PB1",Chromatin other,False
1620,5.217426300048828,PFI3,"Polybromo 1, SMARCA4, SMARCA2",Chromatin other,True
179,5.367084503173828,5-Fluorouracil,Antimetabolite (DNA & RNA),Other,False
